venue,cc4,amount,ts
Guy's Gyros,7253,23.34,2014-01-09 20:29
Katerina's Cafe,2418,30.69,2014-01-09 20:38
Guy's Gyros,5368,8.23,2014-01-09 20:38
Guy's Gyros,7384,35.05,2014-01-09 20:39
Hippokampos,2463,9.13,2014-01-09 20:41
Frydos Autosupply n' More,3853,276.75,2014-01-09 20:45
Hippokampos,6895,24.96,2014-01-09 21:01
Guy's Gyros,4434,31.31,2014-01-09 21:09
Hippokampos,8156,23.66,2014-01-09 21:12
Shoppers' Delight,2681,258.43,2014-01-09 21:13
Katerina's Cafe,1310,8.57,2014-01-09 21:18
Albert's Fine Clothing,8332,229.98,2014-01-09 21:27
Hippokampos,9635,10.12,2014-01-09 21:38
Hallowed Grounds,8129,16.75,2014-01-10 07:34
Brew've Been Served,6816,15.85,2014-01-10 07:35
Coffee Cameleon,7253,8.51,2014-01-10 07:40
Hallowed Grounds,1874,12.03,2014-01-10 07:41
Hallowed Grounds,9617,8.34,2014-01-10 07:41
Hallowed Grounds,1310,11.49,2014-01-10 07:41
Brew've Been Served,3484,5.01,2014-01-10 07:45
Hallowed Grounds,3492,11.38,2014-01-10 07:45
Hallowed Grounds,2681,17.63,2014-01-10 07:46
Brew've Been Served,4948,44.88,2014-01-10 07:47
Coffee Cameleon,5921,11.54,2014-01-10 07:47
Brew've Been Served,9405,13.32,2014-01-10 07:48
Hallowed Grounds,7889,10.34,2014-01-10 07:49
Brew've Been Served,9683,89.93,2014-01-10 07:49
Hallowed Grounds,7108,10.76,2014-01-10 07:50
Brew've Been Served,5407,12.77,2014-01-10 07:51
Brew've Been Served,7384,83.44,2014-01-10 07:54
Coffee Cameleon,2418,9.69,2014-01-10 07:54
Brew've Been Served,5368,85.91,2014-01-10 07:55
Brew've Been Served,4795,97.25,2014-01-10 07:56
Brew've Been Served,7354,90.72,2014-01-10 07:56
Abila Airport,9614,4039.36,2014-01-10 07:59
Brew've Been Served,1286,5.89,2014-01-10 08:01
Brew've Been Served,6901,5.31,2014-01-10 08:01
Hallowed Grounds,6691,9.34,2014-01-10 08:06
Brew've Been Served,3853,14.45,2014-01-10 08:09
Brew've Been Served,7819,3.03,2014-01-10 08:09
Coffee Cameleon,2142,13.25,2014-01-10 08:11
Brew've Been Served,8202,8.47,2014-01-10 08:17
Brew've Been Served,4434,12.64,2014-01-10 08:17
Brew've Been Served,8411,14.36,2014-01-10 08:20
Carlyle Chemical Inc.,9614,227.81,2014-01-10 09:09
Kronos Mart,7688,203.91,2014-01-10 09:30
Nationwide Refinery,9735,1552.82,2014-01-10 10:00
Nationwide Refinery,9614,2302.73,2014-01-10 10:40
Stewart and Sons Fabrication,9735,4074.1,2014-01-10 11:49
Bean There Done That,1415,15.39,2014-01-10 12:00
Bean There Done That,9635,3.92,2014-01-10 12:00
Brewed Awakenings,7688,13.82,2014-01-10 12:00
Jack's Magical Beans,6899,15.69,2014-01-10 12:00
Brewed Awakenings,2540,6.17,2014-01-10 12:00
Bean There Done That,1877,13.41,2014-01-10 12:00
Brewed Awakenings,8332,13.9,2014-01-10 12:00
Bean There Done That,1321,18.67,2014-01-10 12:00
Bean There Done That,6895,9.3,2014-01-10 12:00
Jack's Magical Beans,9241,16.29,2014-01-10 12:00
Jack's Magical Beans,8156,5.46,2014-01-10 12:00
Jack's Magical Beans,2463,8.22,2014-01-10 12:00
Stewart and Sons Fabrication,9614,4195.49,2014-01-10 12:10
Chostus Hotel,9683,133.25,2014-01-10 13:08
Chostus Hotel,2540,197.41,2014-01-10 13:11
Guy's Gyros,8156,36.44,2014-01-10 13:12
Ouzeri Elian,9551,30.71,2014-01-10 13:16
Hippokampos,4795,79.26,2014-01-10 13:20
Guy's Gyros,6816,26.76,2014-01-10 13:25
Guy's Gyros,7253,15.93,2014-01-10 13:27
Abila Zacharo,6899,113.33,2014-01-10 13:29
Katerina's Cafe,7688,34.76,2014-01-10 13:30
Kalami Kafenion,3484,35.69,2014-01-10 13:30
Gelatogalore,1415,26.15,2014-01-10 13:35
Ouzeri Elian,3853,35.24,2014-01-10 13:35
Kalami Kafenion,9241,101.5,2014-01-10 13:35
Abila Zacharo,1310,36.73,2014-01-10 13:36
Katerina's Cafe,7354,25.36,2014-01-10 13:36
Guy's Gyros,7384,26.68,2014-01-10 13:38
Katerina's Cafe,2418,21.22,2014-01-10 13:38
Hippokampos,2463,32.01,2014-01-10 13:40
Guy's Gyros,8411,38.15,2014-01-10 13:44
Ouzeri Elian,9405,20.46,2014-01-10 13:44
Kalami Kafenion,5407,27.48,2014-01-10 13:45
Abila Zacharo,2681,31.34,2014-01-10 13:46
Guy's Gyros,9635,31.5,2014-01-10 13:47
Katerina's Cafe,6895,25.62,2014-01-10 13:47
Katerina's Cafe,2142,24.33,2014-01-10 13:47
Ouzeri Elian,1877,15.25,2014-01-10 13:50
Guy's Gyros,1321,31.05,2014-01-10 13:52
Kalami Kafenion,4434,24.3,2014-01-10 13:53
Guy's Gyros,8129,16.34,2014-01-10 13:57
Ouzeri Elian,5368,24.74,2014-01-10 13:57
Hippokampos,6901,39.89,2014-01-10 13:58
Abila Zacharo,1874,8.22,2014-01-10 13:59
Abila Zacharo,3492,16.12,2014-01-10 14:01
Abila Zacharo,7819,36.38,2014-01-10 14:03
Hippokampos,7117,11.61,2014-01-10 14:07
Ouzeri Elian,9617,30.93,2014-01-10 14:07
Katerina's Cafe,7108,77.62,2014-01-10 14:08
Abila Zacharo,6691,9.32,2014-01-10 14:09
Gelatogalore,8202,32.19,2014-01-10 14:11
Hippokampos,4948,10.16,2014-01-10 14:20
Octavio's Office Supplies,4795,139.72,2014-01-10 14:41
Octavio's Office Supplies,7253,64.51,2014-01-10 16:07
Ouzeri Elian,6899,19.92,2014-01-10 18:52
Frydos Autosupply n' More,7889,98.39,2014-01-10 18:57
Guy's Gyros,6816,23.61,2014-01-10 19:45
Hippokampos,1415,48.22,2014-01-10 19:46
Katerina's Cafe,8129,19.57,2014-01-10 19:50
Guy's Gyros,4795,27.78,2014-01-10 19:54
Hippokampos,7117,19.88,2014-01-10 19:56
Katerina's Cafe,5921,21.89,2014-01-10 19:56
Frydos Autosupply n' More,8202,43.65,2014-01-10 20:02
Katerina's Cafe,9405,15.76,2014-01-10 20:08
Hippokampos,7688,70.48,2014-01-10 20:09
Katerina's Cafe,8411,8.14,2014-01-10 20:09
Guy's Gyros,6901,29.81,2014-01-10 20:09
Albert's Fine Clothing,6895,126.13,2014-01-10 20:11
Frydos Autosupply n' More,7384,237.08,2014-01-10 20:15
Shoppers' Delight,7819,279.53,2014-01-10 20:17
Guy's Gyros,7108,35.54,2014-01-10 20:20
Guy's Gyros,3853,37.37,2014-01-10 20:23
Katerina's Cafe,5407,21.28,2014-01-10 20:42
Hippokampos,8332,17.21,2014-01-10 20:50
Roberts and Sons,7354,241.2,2014-01-10 21:11
Guy's Gyros,5368,25.81,2014-01-10 21:13
Hippokampos,8156,27,2014-01-10 21:17
General Grocer,4434,227.28,2014-01-10 21:28
Hippokampos,2463,79.97,2014-01-10 22:21
Katerina's Cafe,8156,45.22,2014-01-11 13:19
Katerina's Cafe,2418,45.21,2014-01-11 13:23
Katerina's Cafe,6895,29.1,2014-01-11 13:32
Abila Zacharo,1310,54.82,2014-01-11 13:32
Abila Zacharo,2540,89.54,2014-01-11 13:33
Gelatogalore,9617,17.31,2014-01-11 13:35
Hippokampos,4434,103.38,2014-01-11 13:36
Hippokampos,9551,75.62,2014-01-11 13:37
Hippokampos,6691,82.23,2014-01-11 13:37
Ouzeri Elian,8129,19.11,2014-01-11 13:40
Katerina's Cafe,3484,71.65,2014-01-11 13:43
Hippokampos,7688,31.1,2014-01-11 13:47
Katerina's Cafe,1321,23.45,2014-01-11 13:50
Abila Zacharo,7253,32.02,2014-01-11 13:51
Gelatogalore,3853,18.74,2014-01-11 13:59
Kalami Kafenion,7117,35.66,2014-01-11 14:09
Kalami Kafenion,7108,39.36,2014-01-11 14:16
Katerina's Cafe,2142,26.02,2014-01-11 14:17
Abila Zacharo,6901,45.2,2014-01-11 14:19
Shoppers' Delight,9617,157.45,2014-01-11 15:15
Shoppers' Delight,2418,238.52,2014-01-11 15:20
General Grocer,8129,78.02,2014-01-11 15:31
Roberts and Sons,1310,256.24,2014-01-11 16:00
Albert's Fine Clothing,4434,211.47,2014-01-11 16:01
Frydos Autosupply n' More,7688,52.73,2014-01-11 16:09
Ahaggo Museum,4795,89.32,2014-01-11 16:24
Ahaggo Museum,9683,52.14,2014-01-11 17:16
Katerina's Cafe,9617,55.67,2014-01-11 19:08
Kalami Kafenion,7819,23.86,2014-01-11 19:17
Ouzeri Elian,6899,69.36,2014-01-11 19:21
Hippokampos,7688,66.21,2014-01-11 19:26
Albert's Fine Clothing,8156,105.33,2014-01-11 19:27
Hippokampos,9683,32.63,2014-01-11 19:27
Hippokampos,4795,63.21,2014-01-11 19:29
Katerina's Cafe,2142,33.18,2014-01-11 19:31
Katerina's Cafe,6691,20.71,2014-01-11 19:32
Hippokampos,1877,11.13,2014-01-11 19:33
Guy's Gyros,6816,55.36,2014-01-11 19:34
Katerina's Cafe,2540,57.36,2014-01-11 19:40
Shoppers' Delight,9551,149.2,2014-01-11 19:44
Hippokampos,8332,63.21,2014-01-11 19:45
Katerina's Cafe,7889,12.55,2014-01-11 19:50
Katerina's Cafe,1310,45.68,2014-01-11 19:51
Katerina's Cafe,8411,15.72,2014-01-11 19:52
Hippokampos,9635,67.37,2014-01-11 19:53
Guy's Gyros,5368,36.2,2014-01-11 19:57
Katerina's Cafe,4948,25.76,2014-01-11 20:00
Kalami Kafenion,1286,50.2,2014-01-11 20:04
Ouzeri Elian,2681,16.69,2014-01-11 20:04
Katerina's Cafe,8202,52.45,2014-01-11 20:06
Guy's Gyros,7384,33.65,2014-01-11 20:06
Guy's Gyros,7354,16.33,2014-01-11 20:09
Frydos Autosupply n' More,5407,211.15,2014-01-11 20:13
Katerina's Cafe,9405,9.78,2014-01-11 20:13
Frydos Autosupply n' More,8129,236.25,2014-01-11 20:22
Hippokampos,1415,70.23,2014-01-11 20:23
Katerina's Cafe,2418,94.68,2014-01-11 20:24
Frydos Autosupply n' More,6901,261,2014-01-11 20:26
Hippokampos,7117,69.8,2014-01-11 20:27
Kalami Kafenion,7108,46.78,2014-01-11 20:30
Katerina's Cafe,1874,57.6,2014-01-11 20:46
Kronos Mart,8156,277.26,2014-01-12 03:39
Ouzeri Elian,8332,38.55,2014-01-12 13:03
Ouzeri Elian,5407,98.45,2014-01-12 13:17
Hippokampos,2142,12.55,2014-01-12 13:25
Ouzeri Elian,7819,24.72,2014-01-12 13:28
Ouzeri Elian,1310,72.32,2014-01-12 13:30
Guy's Gyros,6901,34.74,2014-01-12 13:31
Ouzeri Elian,8156,117.22,2014-01-12 13:32
Hippokampos,7117,29.2,2014-01-12 13:35
Gelatogalore,1286,20.09,2014-01-12 13:40
Abila Zacharo,9683,11.2,2014-01-12 13:45
Desafio Golf Course,2463,129.33,2014-01-12 13:45
Kalami Kafenion,2540,54.36,2014-01-12 13:52
Hippokampos,7889,8.54,2014-01-12 13:54
Kalami Kafenion,3492,14.59,2014-01-12 13:55
Hippokampos,1874,12.57,2014-01-12 14:04
Hippokampos,9551,71.99,2014-01-12 14:06
Desafio Golf Course,7688,220.77,2014-01-12 14:13
Desafio Golf Course,8332,198.46,2014-01-12 14:14
Guy's Gyros,8129,30.47,2014-01-12 14:16
Shoppers' Delight,1310,135.78,2014-01-12 15:10
Shoppers' Delight,1286,86.22,2014-01-12 15:24
Shoppers' Delight,7819,204.37,2014-01-12 15:32
General Grocer,7117,159.3,2014-01-12 15:46
Albert's Fine Clothing,2142,195.81,2014-01-12 15:49
Shoppers' Delight,3547,51.5,2014-01-12 16:08
Ahaggo Museum,6901,120.2,2014-01-12 16:27
Katerina's Cafe,7889,12.64,2014-01-12 19:18
Katerina's Cafe,7253,11.81,2014-01-12 19:21
Hippokampos,1321,27.15,2014-01-12 19:22
Guy's Gyros,7108,42.32,2014-01-12 19:26
Shoppers' Delight,7384,211.03,2014-01-12 19:26
Hippokampos,1415,66.63,2014-01-12 19:29
Guy's Gyros,3853,34.41,2014-01-12 19:32
Hippokampos,6895,49.23,2014-01-12 19:35
Guy's Gyros,7354,12.32,2014-01-12 19:36
Katerina's Cafe,5407,40.94,2014-01-12 19:43
Hippokampos,8332,26.79,2014-01-12 19:44
Katerina's Cafe,3492,17.36,2014-01-12 19:47
Gelatogalore,1286,36.2,2014-01-12 19:50
Hippokampos,8156,52.21,2014-01-12 19:51
Frydos Autosupply n' More,5368,88.93,2014-01-12 19:52
Albert's Fine Clothing,1877,63.36,2014-01-12 19:58
Ouzeri Elian,6899,55.55,2014-01-12 19:59
Katerina's Cafe,8129,39.3,2014-01-12 20:04
Hippokampos,9635,78.21,2014-01-12 20:05
Katerina's Cafe,3547,67.14,2014-01-12 20:11
Katerina's Cafe,9405,15.37,2014-01-12 20:12
Katerina's Cafe,2142,39.55,2014-01-12 20:13
Hippokampos,2540,69.41,2014-01-12 20:15
Katerina's Cafe,8411,16.34,2014-01-12 20:17
Katerina's Cafe,4948,40.25,2014-01-12 20:35
Hippokampos,7688,63.32,2014-01-12 20:38
Frydos Autosupply n' More,8202,161.96,2014-01-12 20:43
Katerina's Cafe,1874,87.09,2014-01-12 20:48
Kronos Mart,5407,147.3,2014-01-13 03:00
Daily Dealz,9551,2.01,2014-01-13 06:04
Hallowed Grounds,7889,9.16,2014-01-13 07:32
Brew've Been Served,5368,16.39,2014-01-13 07:36
Brew've Been Served,7384,8.04,2014-01-13 07:38
Coffee Cameleon,3547,19.93,2014-01-13 07:40
Brew've Been Served,9683,8,2014-01-13 07:40
Hallowed Grounds,1310,3.02,2014-01-13 07:42
Brew've Been Served,6816,24.18,2014-01-13 07:43
Hallowed Grounds,3492,13.68,2014-01-13 07:43
Brew've Been Served,4795,18.71,2014-01-13 07:43
Hallowed Grounds,9405,5.85,2014-01-13 07:44
Brew've Been Served,7354,19.64,2014-01-13 07:53
Hallowed Grounds,7108,19.18,2014-01-13 07:54
Coffee Cameleon,2418,17.49,2014-01-13 07:55
Brew've Been Served,5407,6.08,2014-01-13 07:55
Brew've Been Served,4948,9.53,2014-01-13 07:56
Brew've Been Served,3484,78.23,2014-01-13 07:57
Hallowed Grounds,6691,6.32,2014-01-13 07:57
Brew've Been Served,8411,13.37,2014-01-13 08:00
Kronos Mart,6816,159.06,2014-01-13 08:01
Coffee Cameleon,7253,4.88,2014-01-13 08:02
Brew've Been Served,4434,16.05,2014-01-13 08:04
Hallowed Grounds,2681,55.96,2014-01-13 08:06
Brew've Been Served,1286,11.49,2014-01-13 08:07
Coffee Cameleon,2142,17.76,2014-01-13 08:12
Abila Airport,9220,3617.47,2014-01-13 08:15
Brew've Been Served,6901,13.19,2014-01-13 08:21
Brew've Been Served,7819,6.69,2014-01-13 08:22
Brew've Been Served,8202,19.89,2014-01-13 08:23
Kronos Pipe and Irrigation,9220,2892.74,2014-01-13 08:58
Nationwide Refinery,9735,204.58,2014-01-13 10:12
Maximum Iron and Steel,9220,689.85,2014-01-13 10:20
Coffee Shack,7117,4.09,2014-01-13 12:00
Bean There Done That,1415,7.93,2014-01-13 12:00
Bean There Done That,9635,98.02,2014-01-13 12:00
Brewed Awakenings,7688,12.69,2014-01-13 12:00
Jack's Magical Beans,6899,18.31,2014-01-13 12:00
Brewed Awakenings,2540,56.4,2014-01-13 12:00
Bean There Done That,1877,19.56,2014-01-13 12:00
Brewed Awakenings,8332,16.25,2014-01-13 12:00
Bean There Done That,1321,5.54,2014-01-13 12:00
Bean There Done That,1874,10.37,2014-01-13 12:00
Bean There Done That,9617,15.24,2014-01-13 12:00
Bean There Done That,6895,18.59,2014-01-13 12:00
Carlyle Chemical Inc.,9220,1718.96,2014-01-13 12:00
Jack's Magical Beans,9241,5.22,2014-01-13 12:00
Jack's Magical Beans,8156,9.64,2014-01-13 12:00
Jack's Magical Beans,2463,17.52,2014-01-13 12:00
Abila Airport,8642,4417.03,2014-01-13 12:11
Hippokampos,4434,17.17,2014-01-13 12:27
Ouzeri Elian,9220,19.82,2014-01-13 12:55
Gelatogalore,8156,32.83,2014-01-13 13:03
U-Pump,9551,55.25,2014-01-13 13:18
Gelatogalore,8332,46.45,2014-01-13 13:19
Abila Zacharo,6816,79.95,2014-01-13 13:20
Abila Zacharo,1286,64.5,2014-01-13 13:21
Katerina's Cafe,2418,38.98,2014-01-13 13:23
Hippokampos,7253,35.73,2014-01-13 13:24
Abila Zacharo,9683,8.72,2014-01-13 13:27
Hippokampos,9551,30.51,2014-01-13 13:28
Guy's Gyros,2540,27.49,2014-01-13 13:33
Katerina's Cafe,6899,26.15,2014-01-13 13:34
Abila Zacharo,1321,27.3,2014-01-13 13:34
Hippokampos,7354,59.9,2014-01-13 13:34
Katerina's Cafe,9405,17.21,2014-01-13 13:36
Ouzeri Elian,4795,95.03,2014-01-13 13:37
Guy's Gyros,2142,37.37,2014-01-13 13:39
Katerina's Cafe,1874,8.29,2014-01-13 13:40
Guy's Gyros,2463,29.25,2014-01-13 13:40
Gelatogalore,1415,36.93,2014-01-13 13:41
Abila Zacharo,9635,11.99,2014-01-13 13:42
Abila Zacharo,3853,116.32,2014-01-13 13:48
Ouzeri Elian,1310,8.32,2014-01-13 13:48
Katerina's Cafe,3492,24.26,2014-01-13 13:48
Hippokampos,7384,91.97,2014-01-13 13:50
Abila Zacharo,7819,17.41,2014-01-13 13:51
Guy's Gyros,8411,21.03,2014-01-13 13:51
Katerina's Cafe,3547,29.55,2014-01-13 13:52
Kalami Kafenion,5368,20.33,2014-01-13 13:55
Guy's Gyros,7117,38.07,2014-01-13 14:00
Gelatogalore,8202,36.24,2014-01-13 14:00
Gelatogalore,2681,117.17,2014-01-13 14:01
Hippokampos,9617,25.09,2014-01-13 14:04
Ouzeri Elian,1877,29.75,2014-01-13 14:06
Guy's Gyros,6901,12.76,2014-01-13 14:13
Hippokampos,4948,26.96,2014-01-13 14:21
Guy's Gyros,8129,116.87,2014-01-13 14:33
Abila Airport,8642,2228.08,2014-01-13 16:56
Frydos Autosupply n' More,9551,10000,2014-01-13 19:20
Shoppers' Delight,3853,216.43,2014-01-13 19:27
Ouzeri Elian,9551,28.75,2014-01-13 19:30
Frydos Autosupply n' More,8129,188.57,2014-01-13 19:41
Katerina's Cafe,3547,89.83,2014-01-13 19:50
Frydos Autosupply n' More,8411,64.6,2014-01-13 19:59
Katerina's Cafe,6691,30.84,2014-01-13 19:59
Guy's Gyros,7354,22.34,2014-01-13 20:09
Guy's Gyros,4795,20.47,2014-01-13 20:11
Guy's Gyros,7384,36.89,2014-01-13 20:15
Guy's Gyros,7819,15.84,2014-01-13 20:18
Katerina's Cafe,2142,35.7,2014-01-13 20:24
Katerina's Cafe,1310,91.36,2014-01-13 20:33
Albert's Fine Clothing,7688,288,2014-01-13 20:35
Hippokampos,2463,29.22,2014-01-13 20:35
Hippokampos,1415,31.59,2014-01-13 20:42
Albert's Fine Clothing,1321,49.48,2014-01-13 20:42
Guy's Gyros,1286,88.57,2014-01-13 20:42
Ouzeri Elian,2681,21.83,2014-01-13 20:43
Katerina's Cafe,5407,93.57,2014-01-13 20:44
Guy's Gyros,9683,15.55,2014-01-13 20:44
Shoppers' Delight,6901,144.4,2014-01-13 20:45
Katerina's Cafe,7253,22.24,2014-01-13 20:47
Katerina's Cafe,7889,55.82,2014-01-13 20:51
Guy's Gyros,7108,37.5,2014-01-13 20:59
Katerina's Cafe,1874,27.59,2014-01-13 21:00
Guy's Gyros,5368,19.77,2014-01-13 21:08
Frydos Autosupply n' More,2418,202.05,2014-01-13 21:11
Hippokampos,8332,31.47,2014-01-13 21:12
Hippokampos,7117,32.29,2014-01-13 21:13
Katerina's Cafe,9405,33.11,2014-01-13 21:16
Hippokampos,8156,99.63,2014-01-13 21:27
Brew've Been Served,5368,14.67,2014-01-14 07:27
Brew've Been Served,4795,4.72,2014-01-14 07:31
Hallowed Grounds,7889,10.75,2014-01-14 07:35
Brew've Been Served,7354,7.31,2014-01-14 07:35
Coffee Cameleon,3547,9.8,2014-01-14 07:37
Brew've Been Served,9683,5.87,2014-01-14 07:40
Hallowed Grounds,1310,4.59,2014-01-14 07:42
Hallowed Grounds,8129,16.67,2014-01-14 07:44
Brew've Been Served,4948,14.04,2014-01-14 07:45
Hallowed Grounds,7108,13,2014-01-14 07:45
Brew've Been Served,3484,10.96,2014-01-14 07:45
Brew've Been Served,9405,16.53,2014-01-14 07:45
Brew've Been Served,3853,6.45,2014-01-14 07:48
Coffee Cameleon,2418,11.67,2014-01-14 07:52
Coffee Cameleon,7253,15.63,2014-01-14 07:53
Brew've Been Served,8202,9.53,2014-01-14 07:53
Brew've Been Served,7384,8.24,2014-01-14 07:53
Brew've Been Served,6816,3.66,2014-01-14 07:53
Hallowed Grounds,1874,19.99,2014-01-14 07:54
Hallowed Grounds,9617,50.21,2014-01-14 07:54
Coffee Cameleon,2142,7.84,2014-01-14 07:56
Brew've Been Served,7819,11.94,2014-01-14 07:58
Brew've Been Served,1286,3.21,2014-01-14 08:03
Brew've Been Served,5407,16.39,2014-01-14 08:07
Hallowed Grounds,3492,39.52,2014-01-14 08:12
Hallowed Grounds,2681,10.65,2014-01-14 08:12
Brew've Been Served,8411,11.53,2014-01-14 08:13
Brew've Been Served,6901,12.31,2014-01-14 08:13
Hallowed Grounds,6691,6.16,2014-01-14 08:16
Kronos Mart,6899,58.85,2014-01-14 08:20
Carlyle Chemical Inc.,7792,3630.57,2014-01-14 09:34
Nationwide Refinery,9735,965.72,2014-01-14 10:03
Stewart and Sons Fabrication,3506,600.19,2014-01-14 11:01
Nationwide Refinery,7792,570.95,2014-01-14 11:45
Stewart and Sons Fabrication,9735,278.52,2014-01-14 11:55
Coffee Shack,7117,3.63,2014-01-14 12:00
Bean There Done That,1415,7.28,2014-01-14 12:00
Bean There Done That,9635,19.37,2014-01-14 12:00
Brewed Awakenings,7688,17.14,2014-01-14 12:00
Brewed Awakenings,2540,8.3,2014-01-14 12:00
Bean There Done That,1877,14.56,2014-01-14 12:00
Brewed Awakenings,8332,11.35,2014-01-14 12:00
Bean There Done That,1321,67.82,2014-01-14 12:00
Bean There Done That,6895,5.9,2014-01-14 12:00
Jack's Magical Beans,9241,63.36,2014-01-14 12:00
Jack's Magical Beans,8156,95.7,2014-01-14 12:00
Abila Airport,8642,228.41,2014-01-14 12:30
Nationwide Refinery,3506,1341.01,2014-01-14 13:00
Abila Airport,2276,3379.21,2014-01-14 13:06
Katerina's Cafe,8156,29.12,2014-01-14 13:14
Hippokampos,7253,36.01,2014-01-14 13:17
Chostus Hotel,2540,109.54,2014-01-14 13:17
Katerina's Cafe,7792,34.45,2014-01-14 13:21
Chostus Hotel,9683,113.08,2014-01-14 13:21
Katerina's Cafe,6895,10.03,2014-01-14 13:22
Kalami Kafenion,9635,17.38,2014-01-14 13:24
Kalami Kafenion,8332,15.15,2014-01-14 13:24
Hippokampos,7688,23.69,2014-01-14 13:25
Gelatogalore,7384,27.26,2014-01-14 13:32
Gelatogalore,2142,32.82,2014-01-14 13:32
Katerina's Cafe,7354,20.95,2014-01-14 13:32
Gelatogalore,2463,39.17,2014-01-14 13:33
Katerina's Cafe,4795,29.1,2014-01-14 13:34
Abila Zacharo,8411,31.09,2014-01-14 13:35
Abila Zacharo,9405,15.26,2014-01-14 13:35
Guy's Gyros,1415,13.27,2014-01-14 13:36
Hippokampos,3853,19.07,2014-01-14 13:37
Abila Zacharo,1310,10.24,2014-01-14 13:37
Abila Zacharo,6816,8.41,2014-01-14 13:38
Ouzeri Elian,3484,107.32,2014-01-14 13:40
Kalami Kafenion,5407,33.13,2014-01-14 13:40
Ouzeri Elian,6899,79.58,2014-01-14 13:41
Katerina's Cafe,3547,75.46,2014-01-14 13:41
Hippokampos,7889,98.81,2014-01-14 13:42
Kalami Kafenion,3492,23.1,2014-01-14 13:42
Katerina's Cafe,6691,31.69,2014-01-14 13:43
Guy's Gyros,1874,16.35,2014-01-14 13:44
Gelatogalore,1877,70.98,2014-01-14 13:49
Guy's Gyros,9617,38.26,2014-01-14 13:49
Kalami Kafenion,4948,27.65,2014-01-14 13:50
Kalami Kafenion,1321,15.27,2014-01-14 13:51
Ouzeri Elian,7108,62.3,2014-01-14 13:51
Ouzeri Elian,2681,33.67,2014-01-14 13:53
Gelatogalore,5368,35.97,2014-01-14 13:57
Hippokampos,6901,17.18,2014-01-14 13:57
Katerina's Cafe,7819,33.54,2014-01-14 13:58
Guy's Gyros,1286,50.4,2014-01-14 13:59
Ouzeri Elian,7117,19.7,2014-01-14 14:01
Gelatogalore,8129,102.03,2014-01-14 14:03
Abila Zacharo,4434,24.87,2014-01-14 14:03
Abila Scrapyard,2276,4277.4,2014-01-14 14:13
Hippokampos,8202,16.73,2014-01-14 14:16
Carlyle Chemical Inc.,7792,854.88,2014-01-14 14:21
Abila Airport,8642,4918.39,2014-01-14 15:32
Octavio's Office Supplies,6816,131.73,2014-01-14 15:49
Carlyle Chemical Inc.,7792,3470.99,2014-01-14 16:16
Nationwide Refinery,2276,4429.76,2014-01-14 16:28
Hippokampos,1415,39.64,2014-01-14 19:44
Guy's Gyros,7108,94.26,2014-01-14 19:59
Guy's Gyros,4795,23.59,2014-01-14 20:01
Albert's Fine Clothing,3484,50.77,2014-01-14 20:05
Katerina's Cafe,7889,91.8,2014-01-14 20:09
Katerina's Cafe,8129,27.67,2014-01-14 20:15
Guy's Gyros,6816,18.11,2014-01-14 20:15
Guy's Gyros,5368,35.12,2014-01-14 20:17
Katerina's Cafe,3547,36.95,2014-01-14 20:17
Guy's Gyros,7384,12.96,2014-01-14 20:19
Katerina's Cafe,5407,31.94,2014-01-14 20:19
Hippokampos,2463,9.55,2014-01-14 20:22
Guy's Gyros,3853,10.85,2014-01-14 20:25
Katerina's Cafe,1874,12.65,2014-01-14 20:26
Guy's Gyros,7819,25.28,2014-01-14 20:29
Ouzeri Elian,6899,11.86,2014-01-14 20:32
Frydos Autosupply n' More,4434,42.72,2014-01-14 20:33
Katerina's Cafe,3492,11.89,2014-01-14 20:34
Ouzeri Elian,9241,24.06,2014-01-14 20:41
Katerina's Cafe,8202,46.61,2014-01-14 20:42
Frydos Autosupply n' More,6901,146.74,2014-01-14 20:43
Ouzeri Elian,2681,80.95,2014-01-14 20:46
Hippokampos,8332,43.56,2014-01-14 20:48
Albert's Fine Clothing,9635,228.72,2014-01-14 20:50
Katerina's Cafe,8411,25.4,2014-01-14 20:50
Hippokampos,6895,28.45,2014-01-14 21:04
Katerina's Cafe,9617,18.35,2014-01-14 21:10
Roberts and Sons,9405,223.81,2014-01-14 21:14
Frydos Autosupply n' More,4948,49.21,2014-01-14 21:28
Hippokampos,2540,22.13,2014-01-14 21:31
Guy's Gyros,7354,26.14,2014-01-14 21:31
Hallowed Grounds,7889,11.98,2014-01-15 07:33
Brew've Been Served,7384,3.71,2014-01-15 07:34
Hallowed Grounds,9617,5.28,2014-01-15 07:36
Brew've Been Served,6816,15.5,2014-01-15 07:36
Hallowed Grounds,8129,5.95,2014-01-15 07:39
Brew've Been Served,9683,19.87,2014-01-15 07:40
Hallowed Grounds,7108,12.17,2014-01-15 07:44
Coffee Cameleon,2142,19.93,2014-01-15 07:45
Brew've Been Served,9405,11.47,2014-01-15 07:45
Brew've Been Served,7819,6.58,2014-01-15 07:48
Brew've Been Served,1286,11.23,2014-01-15 07:49
Brew've Been Served,7354,19.24,2014-01-15 07:50
Coffee Cameleon,3547,14.47,2014-01-15 07:51
Hallowed Grounds,6691,78.69,2014-01-15 07:51
Coffee Cameleon,7253,5.49,2014-01-15 07:56
Brew've Been Served,4795,4.92,2014-01-15 07:57
