loyaltynum,location,price,timestamp
L7783,Guy's Gyros,14.91,01/09/2014
L3191,Hippokampos,8.43,01/09/2014
L3191,Hippokampos,10.12,01/09/2014
L4164,Kronos Mart,203.91,01/09/2014
L4164,Ouzeri Elian,26.09,01/09/2014
L6267,Gelatogalore,8.6,01/09/2014
L6267,Jack's Magical Beans,10.11,01/09/2014
L1682,Katerina’s Café,17.02,01/09/2014
L1485,Frydos Autosupply n' More,276.75,01/09/2014
L1485,Jack's Magical Beans,6,01/09/2014
L1485,Katerina’s Café,10.42,01/09/2014
L5947,Brewed Awakenings,13.16,01/09/2014
L5947,Gelatogalore,16.74,01/09/2014
L5947,Hippokampos,15.02,01/09/2014
L6119,Guy's Gyros,13.59,01/09/2014
L6119,Guy's Gyros,8.23,01/09/2014
L3014,Bean There Done That,4.06,01/09/2014
L3014,Katerina’s Café,8.01,01/09/2014
L2070,Albert's Fine Clothing,229.98,01/09/2014
L2070,Brewed Awakenings,17.66,01/09/2014
L4149,Frydos Autosupply n' More,60.65,01/09/2014
L4149,Hippokampos,9.12,01/09/2014
L6544,Hallowed Grounds,16.77,01/09/2014
L6544,Ouzeri Elian,32.89,01/09/2014
L4424,Abila Zacharo,20.73,01/09/2014
L4424,Hallowed Grounds,17.84,01/09/2014
L5259,Abila Zacharo,14.37,01/09/2014
L3800,Brew've Been Served,5.3,01/09/2014
L3800,Guy's Gyros,35.05,01/09/2014
L3800,Kalami Kafenion,18.14,01/09/2014
L5553,Guy's Gyros,15,01/09/2014
L5553,Hallowed Grounds,18.48,01/09/2014
L5553,Katerina’s Café,26,01/09/2014
L3366,Bean There Done That,4.05,01/09/2014
L3366,Hippokampos,24.96,01/09/2014
L3366,Kalami Kafenion,30.76,01/09/2014
L8148,Brew've Been Served,15.82,01/09/2014
L8148,Guy's Gyros,29.96,01/09/2014
L8148,Ouzeri Elian,22.4,01/09/2014
L7761,Abila Airport,2358.22,01/09/2014
L7761,Nationwide Refinery,1420.39,01/09/2014
L7761,Stewart and Sons Fabrication,1015.65,01/09/2014
L3572,Brew've Been Served,17.64,01/09/2014
L3572,Guy's Gyros,18.26,01/09/2014
L2490,Abila Zacharo,8.16,01/09/2014
L2490,Brew've Been Served,12.12,01/09/2014
L2490,Frydos Autosupply n' More,138.02,01/09/2014
L2769,Abila Airport,182.93,01/09/2014
L2769,Abila Airport,4538.52,01/09/2014
L2169,Brew've Been Served,6.21,01/09/2014
L2169,Guy's Gyros,31.31,01/09/2014
L2169,Hippokampos,25.7,01/09/2014
L5756,Carlyle Chemical Inc.,529.47,01/09/2014
L5756,Carlyle Chemical Inc.,382.43,01/09/2014
L5756,Carlyle Chemical Inc.,2176.2,01/09/2014
L5756,Katerina’s Café,16.98,01/09/2014
L5756,Nationwide Refinery,289.3,01/09/2014
L9633,Nationwide Refinery,674.28,01/09/2014
L9633,Stewart and Sons Fabrication,3544,01/09/2014
L8477,Carlyle Chemical Inc.,732.82,01/09/2014
L8477,Kronos Pipe and Irrigation,423.14,01/09/2014
L8477,Maximum Iron and Steel,1527.14,01/09/2014
L9637,Coffee Cameleon,16.13,01/09/2014
L8012,Hallowed Grounds,17.56,01/09/2014
L8012,Hippokampos,13.84,01/09/2014
L8012,Katerina’s Café,8.57,01/09/2014
L3288,Abila Zacharo,48.39,01/09/2014
L7814,Katerina’s Café,19.02,01/09/2014
L3259,Gelatogalore,11.94,01/09/2014
L3259,Hallowed Grounds,10.25,01/09/2014
L3295,Coffee Cameleon,19.99,01/09/2014
L3295,Guy's Gyros,17.44,01/09/2014
L3295,Katerina’s Café,26.6,01/09/2014
L9363,Brew've Been Served,19.47,01/09/2014
L3317,Abila Scrapyard,1158.36,01/09/2014
L3317,Abila Airport,4792.5,01/09/2014
L3317,Nationwide Refinery,1322.5,01/09/2014
L3317,Stewart and Sons Fabrication,918.6,01/09/2014
L5224,Hippokampos,23.66,01/09/2014
L5224,Katerina’s Café,25.85,01/09/2014
L7291,Brew've Been Served,10.71,01/09/2014
L7291,Hippokampos,27.93,01/09/2014
L8566,Brew've Been Served,5.13,01/09/2014
L8566,Gelatogalore,23.45,01/09/2014
L8566,General Grocer,285.34,01/09/2014
L9254,Brew've Been Served,14.85,01/09/2014
L9254,Guy's Gyros,25.4,01/09/2014
L9254,Guy's Gyros,31.81,01/09/2014
L6886,Abila Zacharo,8.6,01/09/2014
L6886,Hippokampos,9.13,01/09/2014
L6886,Jack's Magical Beans,17.43,01/09/2014
L5777,Hallowed Grounds,6.87,01/10/2014
L7783,Bean There Done That,15.39,01/10/2014
L7783,Gelatogalore,26.15,01/10/2014
L7783,Hippokampos,28.22,01/10/2014
L3191,Bean There Done That,3.92,01/10/2014
L3191,Guy's Gyros,31.5,01/10/2014
L4164,Brewed Awakenings,13.82,01/10/2014
L4164,Hippokampos,10.48,01/10/2014
L4164,Katerina’s Café,34.76,01/10/2014
L6267,Abila Zacharo,33.33,01/10/2014
L6267,Jack's Magical Beans,15.69,01/10/2014
L6267,Ouzeri Elian,19.92,01/10/2014
L1682,Coffee Cameleon,8.51,01/10/2014
L1682,Guy's Gyros,15.93,01/10/2014
L1682,Octavio's Office Supplies,64.51,01/10/2014
L1485,Brew've Been Served,14.45,01/10/2014
L1485,Ouzeri Elian,35.24,01/10/2014
L5947,Brewed Awakenings,6.17,01/10/2014
L6119,Hallowed Grounds,10.34,01/10/2014
L6119,Ouzeri Elian,25.98,01/10/2014
L3014,Bean There Done That,13.41,01/10/2014
L3014,Ouzeri Elian,15.25,01/10/2014
L2070,Brewed Awakenings,13.9,01/10/2014
L2070,Hippokampos,30.63,01/10/2014
L2070,Hippokampos,17.21,01/10/2014
L4149,Bean There Done That,18.67,01/10/2014
L4149,Guy's Gyros,31.05,01/10/2014
L6544,Hallowed Grounds,10.76,01/10/2014
L6544,Katerina’s Café,37.62,01/10/2014
L4424,Abila Zacharo,8.22,01/10/2014
L4424,Hallowed Grounds,12.03,01/10/2014
L5259,Abila Zacharo,36.38,01/10/2014
L5259,Brew've Been Served,3.03,01/10/2014
L5259,Shoppers' Delight,279.53,01/10/2014
L3800,Brew've Been Served,3.44,01/10/2014
L3800,Frydos Autosupply n' More,217.08,01/10/2014
L3800,Guy's Gyros,26.68,01/10/2014
L5553,Hallowed Grounds,8.34,01/10/2014
L5553,Ouzeri Elian,30.93,01/10/2014
L3366,Albert's Fine Clothing,126.13,01/10/2014
L3366,Bean There Done That,9.3,01/10/2014
L3366,Katerina’s Café,25.62,01/10/2014
L8148,Brew've Been Served,15.85,01/10/2014
L8148,Guy's Gyros,26.76,01/10/2014
L8148,Guy's Gyros,23.61,01/10/2014
L5924,Carlyle Chemical Inc.,227.81,01/10/2014
L5924,Nationwide Refinery,2262.73,01/10/2014
L5924,Stewart and Sons Fabrication,4195.49,01/10/2014
L3572,Brew've Been Served,5.89,01/10/2014
L2490,Brew've Been Served,5.01,01/10/2014
L2490,Kalami Kafenion,35.69,01/10/2014
L2169,Brew've Been Served,12.64,01/10/2014
L2169,General Grocer,227.28,01/10/2014
L2169,Kalami Kafenion,24.3,01/10/2014
L9633,Nationwide Refinery,1552.82,01/10/2014
L9633,Stewart and Sons Fabrication,4074.1,01/10/2014
L8477,Carlyle Chemical Inc.,3489.36,01/10/2014
L9637,Katerina’s Café,24.33,01/10/2014
L8012,Abila Zacharo,36.73,01/10/2014
L8012,Hallowed Grounds,11.49,01/10/2014
L3288,Jack's Magical Beans,16.29,01/10/2014
L3288,Kalami Kafenion,101.5,01/10/2014
L7814,Abila Zacharo,16.12,01/10/2014
L3259,Brew've Been Served,13.32,01/10/2014
L3259,Katerina’s Café,15.76,01/10/2014
L3259,Ouzeri Elian,20.46,01/10/2014
L3295,Coffee Cameleon,11.54,01/10/2014
L3295,Gelatogalore,39.4,01/10/2014
L3295,Katerina’s Café,21.89,01/10/2014
L9363,Brew've Been Served,5.31,01/10/2014
L9363,Guy's Gyros,29.81,01/10/2014
L9363,Hippokampos,39.89,01/10/2014
L5224,Guy's Gyros,36.44,01/10/2014
L5224,Jack's Magical Beans,5.46,01/10/2014
L7291,Chostus Hotel,113.25,01/10/2014
L8566,Brew've Been Served,17.25,01/10/2014
L8566,Guy's Gyros,27.78,01/10/2014
L8566,Hippokampos,39.26,01/10/2014
L8566,Octavio's Office Supplies,139.72,01/10/2014
L9254,Brew've Been Served,10.72,01/10/2014
L9254,Katerina’s Café,25.36,01/10/2014
L6886,Hippokampos,32.01,01/10/2014
L6886,Hippokampos,39.97,01/10/2014
L7783,Hippokampos,70.23,01/11/2014
L3191,Hippokampos,67.37,01/11/2014
L4164,Frydos Autosupply n' More,52.73,01/11/2014
L4164,Hippokampos,66.21,01/11/2014
L4164,Hippokampos,20.87,01/11/2014
L6267,Ouzeri Elian,69.36,01/11/2014
L1682,Katerina’s Café,29.17,01/11/2014
L5947,Abila Zacharo,89.54,01/11/2014
L5947,Katerina’s Café,57.36,01/11/2014
L6119,Katerina’s Café,12.55,01/11/2014
L2070,Hippokampos,63.21,01/11/2014
L4149,Katerina’s Café,23.45,01/11/2014
L6544,Kalami Kafenion,39.36,01/11/2014
L4424,Katerina’s Café,17.6,01/11/2014
L5259,Kalami Kafenion,23.86,01/11/2014
L3800,Guy's Gyros,33.65,01/11/2014
L5553,Gelatogalore,17.31,01/11/2014
L5553,Katerina’s Café,55.67,01/11/2014
L3366,Katerina’s Café,29.1,01/11/2014
L8148,Guy's Gyros,55.69,01/11/2014
L2490,Katerina’s Café,71.65,01/11/2014
L2169,Albert's Fine Clothing,211.47,01/11/2014
L2169,Hippokampos,23.38,01/11/2014
L9637,Katerina’s Café,26.02,01/11/2014
L9637,Katerina’s Café,33.18,01/11/2014
L8012,Abila Zacharo,54.82,01/11/2014
L8012,Katerina’s Café,45.68,01/11/2014
L3288,Kalami Kafenion,50.2,01/11/2014
L7814,Katerina’s Café,27.46,01/11/2014
L3259,Katerina’s Café,9.78,01/11/2014
L9363,Abila Zacharo,45.2,01/11/2014
L9363,Frydos Autosupply n' More,261,01/11/2014
L5224,Albert's Fine Clothing,105.33,01/11/2014
L5224,Katerina’s Café,45.22,01/11/2014
L7291,Ahaggo Museum,32.14,01/11/2014
L7291,Hippokampos,32.63,01/11/2014
L8566,Ahaggo Museum,89.32,01/11/2014
L8566,Hippokampos,63.21,01/11/2014
L9254,Guy's Gyros,16.33,01/11/2014
L5777,Hippokampos,31.99,01/12/2014
L7783,Hippokampos,66.63,01/12/2014
L3191,Hippokampos,78.21,01/12/2014
L4164,Desafio Golf Course,160.77,01/12/2014
L4164,Hippokampos,63.32,01/12/2014
L6267,Ouzeri Elian,55.55,01/12/2014
L1682,Katerina’s Café,11.81,01/12/2014
L1485,Guy's Gyros,34.41,01/12/2014
L5947,Hippokampos,29.41,01/12/2014
L5947,Kalami Kafenion,26.04,01/12/2014
L6119,Hippokampos,8.54,01/12/2014
L6119,Katerina’s Café,12.64,01/12/2014
L3014,Albert's Fine Clothing,63.36,01/12/2014
L2070,Desafio Golf Course,198.46,01/12/2014
L2070,Hippokampos,26.79,01/12/2014
L2070,Ouzeri Elian,38.55,01/12/2014
L4149,Hippokampos,27.15,01/12/2014
L6544,Guy's Gyros,42.32,01/12/2014
L4424,Hippokampos,12.57,01/12/2014
L4424,Katerina’s Café,27.09,01/12/2014
L5259,Ouzeri Elian,24.72,01/12/2014
L5259,Shoppers' Delight,204.37,01/12/2014
L3800,Shoppers' Delight,211.03,01/12/2014
L3366,Hippokampos,49.23,01/12/2014
L8148,Kronos Mart,159.06,01/12/2014
L3572,Shoppers' Delight,86.22,01/12/2014
L2490,Guy's Gyros,42.78,01/12/2014
L9637,Albert's Fine Clothing,195.81,01/12/2014
L9637,Hippokampos,12.55,01/12/2014
L8012,Ouzeri Elian,72.32,01/12/2014
L8012,Shoppers' Delight,135.78,01/12/2014
L3288,Gelatogalore,36.2,01/12/2014
L7814,Kalami Kafenion,14.59,01/12/2014
L3259,Katerina’s Café,15.37,01/12/2014
L9362,Katerina’s Café,34.1,01/12/2014
L9362,Katerina’s Café,67.14,01/12/2014
L9362,Shoppers' Delight,51.5,01/12/2014
L9363,Ahaggo Museum,120.2,01/12/2014
L9363,Guy's Gyros,34.74,01/12/2014
L5224,Hippokampos,52.21,01/12/2014
L5224,Ouzeri Elian,117.22,01/12/2014
L7291,Abila Zacharo,11.2,01/12/2014
L6886,Desafio Golf Course,129.33,01/12/2014
L5777,Hallowed Grounds,14.11,01/13/2014
L5777,Hippokampos,30.51,01/13/2014
L5777,Ouzeri Elian,28.75,01/13/2014
L7783,Bean There Done That,7.93,01/13/2014
L7783,Gelatogalore,36.93,01/13/2014
L7783,Hippokampos,31.59,01/13/2014
L3191,Abila Zacharo,11.99,01/13/2014
L3191,Bean There Done That,18.02,01/13/2014
L4164,Abila Zacharo,36.14,01/13/2014
L4164,Albert's Fine Clothing,288,01/13/2014
L4164,Brewed Awakenings,12.69,01/13/2014
L6267,Jack's Magical Beans,18.31,01/13/2014
L6267,Katerina’s Café,26.15,01/13/2014
L1682,Coffee Cameleon,4.88,01/13/2014
L1682,Hippokampos,35.73,01/13/2014
L1485,Abila Zacharo,36.32,01/13/2014
L1485,Brew've Been Served,12.8,01/13/2014
L1485,Shoppers' Delight,216.43,01/13/2014
L5947,Brewed Awakenings,16.4,01/13/2014
L5947,Guy's Gyros,27.49,01/13/2014
L6119,Hallowed Grounds,9.16,01/13/2014
L6119,Katerina’s Café,37.88,01/13/2014
L6119,Katerina’s Café,15.82,01/13/2014
L3014,Bean There Done That,19.56,01/13/2014
L3014,Ouzeri Elian,29.75,01/13/2014
L2070,Brewed Awakenings,16.25,01/13/2014
L2070,Gelatogalore,26.45,01/13/2014
L2070,Hippokampos,31.47,01/13/2014
L4149,Abila Zacharo,27.3,01/13/2014
L4149,Albert's Fine Clothing,49.48,01/13/2014
L4149,Bean There Done That,5.54,01/13/2014
L6544,Guy's Gyros,33.48,01/13/2014
L6544,Guy's Gyros,37.5,01/13/2014
L6544,Hallowed Grounds,19.18,01/13/2014
L4424,Bean There Done That,10.37,01/13/2014
L4424,Katerina’s Café,8.29,01/13/2014
L4424,Katerina’s Café,27.59,01/13/2014
L5259,Abila Zacharo,17.41,01/13/2014
L5259,Brew've Been Served,6.69,01/13/2014
L5259,Guy's Gyros,15.84,01/13/2014
L3800,Brew've Been Served,8.04,01/13/2014
L3800,Guy's Gyros,36.89,01/13/2014
L3800,Hippokampos,31.97,01/13/2014
L5553,Bean There Done That,15.24,01/13/2014
L5553,Hippokampos,25.09,01/13/2014
L3366,Abila Zacharo,23.03,01/13/2014
L3366,Bean There Done That,18.59,01/13/2014
L8148,Abila Zacharo,39.95,01/13/2014
L8148,Brew've Been Served,4.18,01/13/2014
L4063,Carlyle Chemical Inc.,1718.96,01/13/2014
L4063,Abila Airport,3617.47,01/13/2014
L4063,Kronos Pipe and Irrigation,2852.74,01/13/2014
L4063,Maximum Iron and Steel,689.85,01/13/2014
L4063,Ouzeri Elian,19.82,01/13/2014
L3572,Brew've Been Served,11.49,01/13/2014
L3572,Guy's Gyros,28.57,01/13/2014
L2490,Brew've Been Served,18.23,01/13/2014
L2769,Abila Airport,4417.03,01/13/2014
L2769,Abila Airport,2228.08,01/13/2014
L2169,Brew've Been Served,16.05,01/13/2014
L2169,Frydos Autosupply n' More,87.57,01/13/2014
L2169,Hippokampos,17.17,01/13/2014
L9633,Nationwide Refinery,204.58,01/13/2014
L9633,Stewart and Sons Fabrication,4071.95,01/13/2014
L9637,Coffee Cameleon,17.76,01/13/2014
L9637,Guy's Gyros,37.37,01/13/2014
L9637,Katerina’s Café,35.7,01/13/2014
L8012,Katerina’s Café,11.36,01/13/2014
L8012,Ouzeri Elian,8.32,01/13/2014
L3288,Abila Zacharo,64.5,01/13/2014
L3288,Jack's Magical Beans,5.22,01/13/2014
L7814,Hallowed Grounds,13.68,01/13/2014
L7814,Katerina’s Café,24.26,01/13/2014
L3259,Hallowed Grounds,5.85,01/13/2014
L3259,Katerina’s Café,33.11,01/13/2014
L9362,Coffee Cameleon,19.93,01/13/2014
L9362,Katerina’s Café,29.55,01/13/2014
L9362,Katerina’s Café,29.83,01/13/2014
L9363,Guy's Gyros,12.76,01/13/2014
L9363,Shoppers' Delight,144.4,01/13/2014
L5224,Gelatogalore,32.83,01/13/2014
L5224,Hippokampos,39.63,01/13/2014
L5224,Jack's Magical Beans,9.64,01/13/2014
L7291,Abila Zacharo,8.72,01/13/2014
L7291,Brew've Been Served,8,01/13/2014
L8566,Brew've Been Served,18.71,01/13/2014
L8566,Guy's Gyros,20.47,01/13/2014
L8566,Ouzeri Elian,35.03,01/13/2014
L9254,Brew've Been Served,19.64,01/13/2014
L9254,Guy's Gyros,22.34,01/13/2014
L9254,Hippokampos,39.9,01/13/2014
L6886,Guy's Gyros,29.25,01/13/2014
L6886,Hippokampos,29.22,01/13/2014
L6886,Jack's Magical Beans,17.52,01/13/2014
L5777,Kalami Kafenion,16.84,01/14/2014
L5777,Ouzeri Elian,15.94,01/14/2014
L7783,Bean There Done That,7.28,01/14/2014
L7783,Hippokampos,39.64,01/14/2014
L3191,Albert's Fine Clothing,228.72,01/14/2014
L3191,Bean There Done That,19.37,01/14/2014
L3191,Kalami Kafenion,17.38,01/14/2014
L4164,Brewed Awakenings,17.14,01/14/2014
L6267,Jack's Magical Beans,13.32,01/14/2014
L6267,Ouzeri Elian,11.86,01/14/2014
L1682,Coffee Cameleon,15.63,01/14/2014
L1682,Hippokampos,36.01,01/14/2014
L1485,Brew've Been Served,6.45,01/14/2014
L1485,Hippokampos,19.07,01/14/2014
L5947,Brewed Awakenings,8.3,01/14/2014
L5947,Chostus Hotel,109.54,01/14/2014
L5947,Hippokampos,22.13,01/14/2014
L6119,Hallowed Grounds,10.75,01/14/2014
L6119,Hippokampos,18.81,01/14/2014
L6119,Katerina’s Café,31.8,01/14/2014
L3014,Gelatogalore,10.98,01/14/2014
L3014,Hippokampos,10.71,01/14/2014
L2070,Brewed Awakenings,11.35,01/14/2014
L2070,Hippokampos,23.56,01/14/2014
L2070,Kalami Kafenion,15.15,01/14/2014
L4149,Bean There Done That,7.82,01/14/2014
L4149,Kalami Kafenion,15.27,01/14/2014
L6544,Guy's Gyros,34.26,01/14/2014
L6544,Hallowed Grounds,13,01/14/2014
L6544,Ouzeri Elian,22.3,01/14/2014
L4424,Guy's Gyros,16.35,01/14/2014
L4424,Hallowed Grounds,19.99,01/14/2014
L4424,Katerina’s Café,12.65,01/14/2014
L5259,Brew've Been Served,11.94,01/14/2014
L5259,Guy's Gyros,25.28,01/14/2014
L5259,Katerina’s Café,33.54,01/14/2014
L3800,Brew've Been Served,8.24,01/14/2014
L3800,Gelatogalore,27.26,01/14/2014
L3800,Guy's Gyros,12.96,01/14/2014
L5553,Guy's Gyros,38.26,01/14/2014
L5553,Hallowed Grounds,10.21,01/14/2014
L5553,Katerina’s Café,18.35,01/14/2014
L3366,Bean There Done That,5.9,01/14/2014
L3366,Katerina’s Café,10.03,01/14/2014
L8148,Abila Zacharo,8.41,01/14/2014
L8148,Brew've Been Served,3.66,01/14/2014
L7761,Abila Airport,2369.56,01/14/2014
L7761,Nationwide Refinery,1301.01,01/14/2014
L7761,Stewart and Sons Fabrication,540.19,01/14/2014
L3572,Brew've Been Served,3.21,01/14/2014
L2490,Albert's Fine Clothing,50.77,01/14/2014
L2490,Brew've Been Served,10.96,01/14/2014
L2490,Ouzeri Elian,27.32,01/14/2014
L2769,Abila Airport,228.41,01/14/2014
L2769,Abila Airport,4898.39,01/14/2014
L2169,Abila Zacharo,24.87,01/14/2014
L2169,Brewed Awakenings,12.74,01/14/2014
L2169,Frydos Autosupply n' More,42.72,01/14/2014
L5756,Carlyle Chemical Inc.,3630.57,01/14/2014
L5756,Carlyle Chemical Inc.,794.88,01/14/2014
L5756,Carlyle Chemical Inc.,3470.99,01/14/2014
L5756,Nationwide Refinery,570.95,01/14/2014
L9633,Nationwide Refinery,965.72,01/14/2014
L9633,Stewart and Sons Fabrication,278.52,01/14/2014
L9637,Coffee Cameleon,7.84,01/14/2014
L8012,Abila Zacharo,10.24,01/14/2014
L8012,Hallowed Grounds,4.59,01/14/2014
L3288,Guy's Gyros,50.4,01/14/2014
L3288,Jack's Magical Beans,3.36,01/14/2014
L7814,Kalami Kafenion,23.1,01/14/2014
L7814,Katerina’s Café,11.89,01/14/2014
L3259,Abila Zacharo,15.26,01/14/2014
L3259,Brew've Been Served,16.53,01/14/2014
L3259,Roberts and Sons,203.81,01/14/2014
L9362,Coffee Cameleon,9.8,01/14/2014
L9362,Katerina’s Café,15.46,01/14/2014
L9362,Katerina’s Café,36.95,01/14/2014
L9363,Brew've Been Served,12.31,01/14/2014
L9363,Frydos Autosupply n' More,146.74,01/14/2014
L9363,Hippokampos,17.18,01/14/2014
L3317,Abila Scrapyard,4277.4,01/14/2014
L3317,Abila Airport,3339.21,01/14/2014
L3317,Nationwide Refinery,4429.76,01/14/2014
L5224,Jack's Magical Beans,15.7,01/14/2014
L5224,Katerina’s Café,29.12,01/14/2014
L7291,Brew've Been Served,5.87,01/14/2014
L7291,Chostus Hotel,113.08,01/14/2014
L8566,Brew've Been Served,4.72,01/14/2014
L8566,Guy's Gyros,23.59,01/14/2014
L8566,Katerina’s Café,29.1,01/14/2014
L9254,Brew've Been Served,7.31,01/14/2014
L9254,Guy's Gyros,26.14,01/14/2014
L9254,Katerina’s Café,20.95,01/14/2014
L6886,Gelatogalore,39.17,01/14/2014
L6886,Hippokampos,9.55,01/14/2014
L6886,Jack's Magical Beans,18.08,01/14/2014
L5777,Hallowed Grounds,15.86,01/15/2014
L5777,Ouzeri Elian,24.81,01/15/2014
L5777,Ouzeri Elian,32.95,01/15/2014
L7783,Guy's Gyros,14.37,01/15/2014
L3191,Abila Zacharo,8.83,01/15/2014
L3191,Bean There Done That,5.34,01/15/2014
L3191,Hippokampos,35.12,01/15/2014
L4164,Abila Zacharo,23.51,01/15/2014
L4164,Brewed Awakenings,15.75,01/15/2014
L6267,Hippokampos,13,01/15/2014
L6267,Ouzeri Elian,23.18,01/15/2014
L1682,Coffee Cameleon,5.49,01/15/2014
L1682,Katerina’s Café,13.77,01/15/2014
L1682,Ouzeri Elian,8.93,01/15/2014
L1485,Brew've Been Served,15.58,01/15/2014
L1485,Gelatogalore,31.21,01/15/2014
L1485,Guy's Gyros,21.43,01/15/2014
L5947,Brewed Awakenings,11.62,01/15/2014
L5947,Frydos Autosupply n' More,18.91,01/15/2014
L5947,Hippokampos,22.61,01/15/2014
L6119,Abila Zacharo,31,01/15/2014
L3014,Bean There Done That,13.13,01/15/2014
L3014,Hippokampos,32.4,01/15/2014
L3014,Hippokampos,16.37,01/15/2014
L2070,Brewed Awakenings,3.62,01/15/2014
L2070,Hippokampos,36.7,01/15/2014
L2070,Shoppers' Delight,102,01/15/2014
L4149,Bean There Done That,18.96,01/15/2014
L4149,Hippokampos,10.35,01/15/2014
L4149,Ouzeri Elian,36.47,01/15/2014
L6544,Hallowed Grounds,12.17,01/15/2014
L6544,Kronos Mart,258.83,01/15/2014
L6544,Ouzeri Elian,22.86,01/15/2014
L4424,Kalami Kafenion,26.17,01/15/2014
L5259,Brew've Been Served,6.58,01/15/2014
L5259,Gelatogalore,39.4,01/15/2014
L5259,General Grocer,106.2,01/15/2014
L3800,Brew've Been Served,3.71,01/15/2014
L5553,Guy's Gyros,25.58,01/15/2014
L5553,Hallowed Grounds,5.28,01/15/2014
L5553,Katerina’s Café,11.45,01/15/2014
L3366,Bean There Done That,15.24,01/15/2014
L3366,Hippokampos,21.14,01/15/2014
L3366,Kalami Kafenion,27.86,01/15/2014
L8148,Brew've Been Served,15.5,01/15/2014
L8148,Guy's Gyros,36.35,01/15/2014
L3572,Brew've Been Served,11.23,01/15/2014
L3572,Guy's Gyros,27.01,01/15/2014
L2490,Brew've Been Served,14.06,01/15/2014
L2490,Guy's Gyros,18.04,01/15/2014
L2490,Ouzeri Elian,12.9,01/15/2014
L2769,Abila Airport,3152.41,01/15/2014
L2769,Abila Airport,875.87,01/15/2014
L2169,Brew've Been Served,9.7,01/15/2014
L2169,Guy's Gyros,31.04,01/15/2014
L2169,Hippokampos,38.23,01/15/2014
L5485,Stewart and Sons Fabrication,4485.38,01/15/2014
L5756,Carlyle Chemical Inc.,3608.08,01/15/2014
L5756,Carlyle Chemical Inc.,1112.04,01/15/2014
L5756,Carlyle Chemical Inc.,1392.73,01/15/2014
L5756,Katerina’s Café,24.15,01/15/2014
L5756,Nationwide Refinery,3004.98,01/15/2014
L9633,Nationwide Refinery,1391.24,01/15/2014
L8477,Kronos Pipe and Irrigation,2564,01/15/2014
L8477,Maximum Iron and Steel,4788.22,01/15/2014
L9637,Coffee Cameleon,19.93,01/15/2014
L9637,Guy's Gyros,15.89,01/15/2014
L8012,Katerina’s Café,12.12,01/15/2014
L8012,Katerina’s Café,39.63,01/15/2014
L3288,Jack's Magical Beans,5.3,01/15/2014
L3288,Katerina’s Café,55.6,01/15/2014
L3288,Ouzeri Elian,28.86,01/15/2014
L7814,Abila Zacharo,24.53,01/15/2014
L7814,Hallowed Grounds,14.33,01/15/2014
L7814,Katerina’s Café,39.23,01/15/2014
L3259,Brew've Been Served,11.47,01/15/2014
L9362,Abila Zacharo,33.8,01/15/2014
L9362,Coffee Cameleon,14.47,01/15/2014
L9362,Katerina’s Café,27.48,01/15/2014
L9363,Brew've Been Served,18.58,01/15/2014
L9363,Kalami Kafenion,28.82,01/15/2014
L5224,Hippokampos,37.16,01/15/2014
L5224,Jack's Magical Beans,4.06,01/15/2014
L5224,Kalami Kafenion,22.39,01/15/2014
L7291,Brew've Been Served,19.87,01/15/2014
L7291,Frydos Autosupply n' More,235.27,01/15/2014
L7291,Hippokampos,38.89,01/15/2014
L8566,Brew've Been Served,4.92,01/15/2014
L8566,General Grocer,137.65,01/15/2014
L8566,Guy's Gyros,19.8,01/15/2014
L9254,Guy's Gyros,29.34,01/15/2014
L9254,Guy's Gyros,28.75,01/15/2014
L6886,Gelatogalore,9.61,01/15/2014
L6886,General Grocer,83.11,01/15/2014
L6886,Jack's Magical Beans,19.54,01/15/2014
L5777,Guy's Gyros,10.27,01/16/2014
L5777,Hallowed Grounds,12.19,01/16/2014
L5777,Ouzeri Elian,9.91,01/16/2014
L7783,Bean There Done That,19.82,01/16/2014
L7783,Hippokampos,31.14,01/16/2014
L7783,Kronos Mart,286.24,01/16/2014
L3191,Bean There Done That,12.33,01/16/2014
L3191,Hippokampos,10.55,01/16/2014
L3191,Kalami Kafenion,31.38,01/16/2014
L4164,Hippokampos,20.84,01/16/2014
L4164,Katerina’s Café,27.82,01/16/2014
L6267,Hippokampos,36.17,01/16/2014
L6267,Jack's Magical Beans,9.12,01/16/2014
L6267,Ouzeri Elian,23.89,01/16/2014
L1682,Coffee Cameleon,5.2,01/16/2014
L1682,Hippokampos,16.53,01/16/2014
L1682,Katerina’s Café,36.32,01/16/2014
L1485,Brew've Been Served,5.82,01/16/2014
L1485,Ouzeri Elian,12.47,01/16/2014
L5947,Brewed Awakenings,6.53,01/16/2014
L5947,Hippokampos,10.38,01/16/2014
L6119,Guy's Gyros,31.48,01/16/2014
L6119,Hallowed Grounds,13.84,01/16/2014
L6119,Katerina’s Café,10.93,01/16/2014
L3014,Bean There Done That,5.56,01/16/2014
L3014,Guy's Gyros,32.8,01/16/2014
L3014,Shoppers' Delight,100.69,01/16/2014
L2070,Brewed Awakenings,6.39,01/16/2014
L2070,Hippokampos,17.66,01/16/2014
L4149,Hippokampos,14.89,01/16/2014
L4149,Hippokampos,29.13,01/16/2014
L6544,Guy's Gyros,11.31,01/16/2014
L6544,Hallowed Grounds,18.2,01/16/2014
L4424,Frydos Autosupply n' More,53.37,01/16/2014
